BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT
The Calgary Roman Catholic Separate School Division,Bishop Carroll High School,4624 Richard Road S.W.,T3E6L1,Calgary,AB,(403) 500-2056,,bishopcarroll@cssd.ab.ca,Senior High,N,N,N,N,Y,{FD4CCA9E-F56C-4233-AD66-DC4E72EF5B3C},POINT (-114.1207915 51.0126936)
The Calgary School Division,Citadel Park School,808 Citadel Dr NW,T3G4B8,Calgary,AB,(403) 777-8063,,citadel@cbe.ab.ca,Elementary,N,N,Y,N,N,{0BE06C23-C634-466A-B3C3-4F61A5FFE290},POINT (-114.1742345 51.1454511)
Calgary Waldorf School Society,Calgary Waldorf School,515 Cougar Ridge Drive S.W.,T3H5G9,Calgary,AB,(403) 287-1868,,principal@calgarywaldorf.org,Elementary/Junior High,N,N,Y,Y,N,{E8181031-D10C-4C21-96CC-61E34B613C1D},POINT (-114.2183262 51.0723494)
The Calgary School Division,West Dover School,3113  30 Avenue SE,T2B0G9,Calgary,AB,(403) 777-8260,,westdover@cbe.ab.ca,Elementary,N,N,Y,N,N,{E64A3A7A-C0EE-4B46-9F21-D80211717B9A},POINT (-113.990648 51.0263292)
The Calgary School Division,Jack James High School,5105  8 Ave SE,T2A4M1,Calgary,AB,(403) 248-4054,,jackjames@cbe.ab.ca,Senior High,N,N,N,N,Y,{3C32FAD5-AC65-42F8-8A86-2592FE1871C3},POINT (-113.9603709 51.0445688)
The Pembina Hills School Division,Vista Virtual School South,341 -  58 Avenue SE,,Calgary,AB,(855) 974-5333,,steven.kaplan@pembinahills.ca,Unknown,N,N,N,N,N,{C0782FD0-BC4B-48EA-8400-D67083D7C47C},POINT (-114.0576597 51.0004854)
The Calgary School Division,Project Trust,3610 - 9th Street SE,T2M4P6,Calgary,AB,(403) 777-6107,,discoveringchoices@cbe.ab.ca,Unknown,N,N,N,N,N,{DFCEA696-52E4-4803-9FCD-3932F764D9FF},POINT (-114.0828403 51.0720702)
The Calgary Roman Catholic Separate School Division,St. Alphonsus Elementary Junior High School,928 Radnor Avenue N.E.,T2E5H5,Calgary,AB,(403) 500-2016,,stalphonsus@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{272382D3-B13B-4093-B56C-9C80404C373B},POINT (-114.0414183 51.0645497)
Foundations for the Future Charter Academy Charter School Society,Northwest Elementary Campus,719-44 Ave NW,T2K0J5,Calgary,AB,(403) 282-5202,,,Elementary,N,N,Y,N,N,{5F94D40E-3B0F-4CC8-BE61-447FD1B11198},POINT (-114.0780594 51.0931727)
The Calgary School Division,Cranston School,205 Cranston Drive SE,T3M1E8,Calgary,AB,(403) 777-6267,,cranston@cbe.ab.ca,Elementary,N,N,Y,N,N,{329864C5-BE1B-4BC0-92FE-D702BB3385BC},POINT (-113.9872418 50.8867871)
The Calgary Roman Catholic Separate School Division,Monsignor E. L. Doyle Elementary School,8887 Scurfield Drive NW,T3L1H6,Calgary,AB,(403) 500-2098,,,Elementary,N,N,Y,N,N,{FD7E567B-D11F-45CB-96E8-E8F9AE48D814},POINT (-114.2164244 51.1220284)
The Calgary School Division,Dr. E. W. Coffin School,5615 Barrett Dr NW,T2L1W4,Calgary,AB,(403) 777-6190,,drewcoffin@cbe.ab.ca,Elementary,N,N,Y,N,N,{9AEEC9DE-8493-49ED-8EBA-C86E92295639},POINT (-114.1347991 51.1037526)
The Calgary School Division,Cecil Swanson School,4820 Rundlewood Dr NE,T1Y5V9,Calgary,AB,(403) 777-6690,,cecilswanson@cbe.ab.ca,Elementary,N,N,Y,N,N,{7479B89B-EB1C-4541-896A-91D201E9E692},POINT (-113.9675431 51.0741822)
The Calgary Roman Catholic Separate School Division,Mother Mary Greene School,115 Edenwold Drive N.W.,T3A3S8,Calgary,AB,(403) 500-2095,,mothermarygreene@cssd.ab.ca,Elementary,N,N,Y,N,N,{883C877E-68E0-418D-90E0-8824615043E6},POINT (-114.1392982 51.1242842)
"Maria Montessori Education Centre of Calgary, Ltd.",Maria Montessori School - cSPACE King Edward Location,cSPACE Projects  1721-29 Avenue SW,T2T6T7,Calgary,AB,(403) 668-8538,,info@mmec.ca,Unknown,N,N,N,N,N,{0B12D129-66D0-4133-B2BC-75590D9D3833},POINT (-114.1008834 51.0272699)
The Calgary School Division,Nickle School,2500 Lake Bonavista Dr SE,T2J2Y6,Calgary,AB,(403) 777-7720,,nickle@cbe.ab.ca,Junior High,N,N,N,Y,N,{32D2CDF3-F3DA-4CCB-AA93-B034EF84BB08},POINT (-114.0614348 50.9407367)
The Calgary School Division,Thorncliffe School,5646 Thornton Rd NW,T2K3B9,Calgary,AB,(403) 777-6670,,thorncliffe@cbe.ab.ca,Elementary,N,N,Y,N,N,{C9A1C39E-C89F-4863-860E-85B7AB2B3F7B},POINT (-114.0670966 51.1023231)
Montessori School of Calgary,Montessori School of Calgary,2201 Cliff Street S.W.,T2S2G4,Calgary,AB,(403) 229-1011,,info@msofc.ca,Elementary,N,N,Y,N,N,{EFA92996-1091-4978-B046-12010CFD85E0},POINT (-114.0760776 51.033361)
The Calgary School Division,Valley View School,4105  26 Ave SE,T2B0C6,Calgary,AB,(403) 777-8250,,valleyview@cbe.ab.ca,Elementary,N,N,Y,N,N,{C6221BD7-69E1-4FA6-A1D0-7E71C65B5747},POINT (-113.9752778 51.0300546)
The Calgary School Division,Prince of Wales School,253 Parkland Way SE,T2J3Y9,Calgary,AB,(403) 777-6880,,princeofwales@cbe.ab.ca,Elementary,N,N,Y,N,N,{C00FF8B2-E323-49A9-A7FA-EFFAADC2839D},POINT (-114.033308 50.9247642)
The Calgary School Division,Colonel Macleod School,1610  6 St NE,T2E3Y9,Calgary,AB,(403) 777-7500,,colonelmacleod@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{9D656091-D52D-4640-8BA3-3466380C7CEE},POINT (-114.0476454 51.0661828)
The Calgary School Division,Peter Lougheed School,148 Saddletree Close NE,T3J5J1,Calgary,AB,(403) 817-3508,,peterlougheed@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{94F4B3F8-0F42-4431-AD61-0275EE2E2A71},POINT (-113.9556832 51.1306696)
The Pembina Hills School Division,Vista Virtual School,341 - 58 Avenue SE,,Calgary,AB,,,vvsupport@pembinahills.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{0D70F71F-0860-4FBA-B834-99D5F66BF37B},POINT (-114.0576597 51.0004854)
Foundations for the Future Charter Academy Charter School Society,Southeast Elementary Campus,9711 Academy Drive SE,T2J1A9,Calgary,AB,(430) 258-2728,,,Elementary,N,N,Y,N,N,{2A254863-23E1-4E79-8CBD-7602D34462B0},POINT (-114.0454063 50.9672419)
The Calgary School Division,Rosemont School,19 Rosevale Dr NW,T2K1N6,Calgary,AB,(403) 777-6230,,rosemont@cbe.ab.ca,Elementary,N,N,Y,N,N,{7111FC21-BFD9-4725-A8FA-70B69A66E3D4},POINT (-114.0923733 51.0778712)
Phoenix Education Foundation,Phoenix Education Foundation,320 19 Street S.E.,T2E6J6,Calgary,AB,(403) 265-7701,,info@phoenixfoundation.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{6D064FB8-47F4-49A8-9639-DF97AFE93575},POINT (-114.0078257 51.0502642)
The Calgary Roman Catholic Separate School Division,St. Albert the Great,225 Prestwick Ave SE,T2Z3X3,Calgary,AB,(403) 500-2114,,stalbert@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{87E9ED82-8F64-4D35-A23B-8ADC21E6424F},POINT (-113.9600758 50.9215097)
The Calgary School Division,Dr. Roberta Bondar School,1580 Strathcona Dr SW,T3H5B1,Calgary,AB,(403) 817-3564,,drrobertabondar@cbe.ab.ca,Elementary,N,N,Y,N,N,{638B8D50-ADED-49EC-ADA6-4190EC7425D4},POINT (-114.2055305 51.0503367)
The Calgary Roman Catholic Separate School Division,Monsignor J. J. O'Brien,99 Bridlewood Road SW,T2Y4J5,Calgary,AB,(403) 500-2104,,msgrobrien@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{AD99AE25-EB47-4D0A-AF1C-A3CA545EBADE},POINT (-114.1038587 50.9015663)
The Calgary School Division,Abbeydale School,320 Abergale Dr NE,T2A6W2,Calgary,AB,(403) 777-6970,,Abbeydale@cbe.ab.ca,Elementary,N,N,Y,N,N,{90C13878-0A02-4243-8B98-B5C88DA31C6C},POINT (-113.9298486 51.0566252)
The Calgary Roman Catholic Separate School Division,St. Isidore Online School,124 24 Ave NE,T2E1W6,Calgary,AB,(403) 500-2138,,stisidore@cssd.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{AED94B62-3AC8-41E7-B2D3-379F57013951},POINT (-114.0611329 51.0744911)
The Calgary School Division,Wildwood School,120  45 St SW,T3C2B3,Calgary,AB,(403) 777-8430,,wildwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{91880848-27FD-4FA5-976E-E4FBCEABEC83},POINT (-114.1521166 51.0515895)
The Calgary Roman Catholic Separate School Division,Bishop O'Byrne High School,Suite 500  333 Shawville Boulevard S.E.,T2Y4H3,Calgary,AB,(403) 500-2103,,bishopobyrne@cssd.ab.ca,Senior High,N,N,N,N,Y,{4274EF93-665E-4D9D-A956-4E8E30E4AF7F},POINT (-114.0645668 50.8980918)
The Calgary School Division,William Reid School,1216  36 Ave SW,T2T2E9,Calgary,AB,(403) 777-6940,,williamreid@cbe.ab.ca,Elementary,N,N,Y,N,N,{D9B27EFA-724C-4348-A8D7-EE7E102A7C69},POINT (-114.0903428 51.0221745)
The Calgary Roman Catholic Separate School Division,St. Damien School,3619 - 28 Street S.E.,T2B2J1,Calgary,AB,(403) 500-2073,,stdamien@cssd.ab.ca,Elementary,N,N,Y,N,N,{5B5889F7-3C71-4418-8080-3DA19E7E7FA8},POINT (-113.9922281 51.0219202)
The Calgary School Division,Central Memorial High School,5111  21 St SW,T3E1R9,Calgary,AB,(403) 243-8880,,centralmemorial@cbe.ab.ca,Senior High,N,N,N,N,Y,{F9600FFA-DB98-41F7-9449-3E66DC23D500},POINT (-114.1135205 51.0079279)
The Calgary Roman Catholic Separate School Division,St. Teresa of Calcutta School,St. Teresa School 121 Midlake,T2X1T7,Calgary,AB,(403) 500-2078,,stteresa@cssd.ab.ca,Elementary,N,N,Y,N,N,{7351634A-6FEC-43A2-A1D3-DA6B140917E6},POINT (-114.0520832 50.9143778)
The Calgary School Division,Mount View School,2004  4 St NE,T2E3T8,Calgary,AB,(403) 777-6300,,mountview@cbe.ab.ca,Elementary,N,N,Y,N,N,{3A53C012-F0FF-45F4-842E-2FEE55B54B5F},POINT (-114.0520619 51.0696254)
The Calgary School Division,Alex Ferguson School,1704  26 St SW,T3C1K5,Calgary,AB,(403) 777-8270,,alexanderferguson@cbe.ab.ca,Elementary,N,N,Y,N,N,{ECCFDF93-5D40-4470-B175-5F05F782B69C},POINT (-114.1229836 51.0393638)
The Calgary Roman Catholic Separate School Division,St. Isabella School,855 Copperfield Blvd SE,T2Z4W8,Calgary,AB,(403) 500-2123,,stisabella@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{3463F784-9364-4089-8F90-C725D71C1B7B},POINT (-113.935989 50.9105832)
The Southern Francophone Education Region,École du Nouveau-Monde,220 Scenic Acres Drive NW,T3L0E7,Calgary,AB,(403) 910-3851,,nouveaumonde@francosud.ca,Elementary,N,N,Y,N,N,{27A81709-9366-4BFB-80DB-BC7C857F2829},POINT (-114.215124 51.111596)
Janus Academy Society,Janus Academy,200 - 403 33 Street NE,T2A1X5,Calgary,AB,(403) 262-3333,,janus.contact@janusacademy.org,Elementary/Junior High,N,N,Y,Y,N,{4F13D0AA-5ED9-4A36-9646-7DE50A2264CA},POINT (-113.9875326 51.0553661)
The Calgary School Division,Elboya School,4804  6 St SW,T2S2N3,Calgary,AB,(403) 777-7760,,elboya@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{E718E6AB-C2EE-47D0-8178-DD237DB93600},POINT (-114.0782137 51.0108834)
The Calgary Roman Catholic Separate School Division,Corpus Christi School,5607 Thornton Road N.W.,T2K3C1,Calgary,AB,(403) 500-2023,,corpuschristi@cssd.ab.ca,Elementary,N,N,Y,N,N,{EF9450EA-3B95-49B2-B972-7DAD9C3F5BD0},POINT (-114.0680318 51.1015969)
The Calgary School Division,Acadia School,9603  5 St SE,T2J1K4,Calgary,AB,(403) 777-8440,,,Elementary,N,N,Y,N,N,{448748BC-1190-4C7B-A30E-466FF32BB691},POINT (-114.0539269 50.9676106)
The Calgary Jewish Academy,Calgary Jewish Academy,6700 Kootenay Street S.W.,T2V1P7,Calgary,AB,(403) 253-3992,,officeadmin@cja.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{A75092DA-D61C-4FD0-BF09-313BA8B5CF07},POINT (-114.0926065 50.9934947)
The Calgary Roman Catholic Separate School Division,St. Monica School,235 - 18 Avenue S.W.,T2S0C2,Calgary,AB,(403) 500-2001,,Stmonica@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{8BD076F4-DD93-485E-AC86-4B8AC2D54E0F},POINT (-114.0678144 51.0367698)
The Calgary School Division,Dr. Gordon Higgins School,155 Rundlehill Dr NE,T1Y2W9,Calgary,AB,(403) 777-7060,,drgordonhiggins@cbe.ab.ca,Junior High,N,N,N,Y,N,{E2B4CB8B-7744-4BAD-97E3-3316B8C50EB6},POINT (-113.970664 51.0752697)
The Calgary Roman Catholic Separate School Division,Sacred Heart Elementary School,1312 - 15 Street S.W.,T3C0T6,Calgary,AB,(403) 500-2004,,sacredheart@cssd.ab.ca,Elementary,N,N,Y,N,N,{3033F25B-0A8A-468B-96E0-02A894707473},POINT (-114.0966258 51.0409252)
The Calgary Roman Catholic Separate School Division,Don Bosco School,13615 Deer Ridge Drive S.E.,T2J6S7,Calgary,AB,(403) 500-2057,,donbosco@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{86D40488-D461-402E-BA85-1F29F15952E2},POINT (-114.0182527 50.9313007)
The Calgary School Division,Patrick Airlie School,1520  39 St SE,T2A1H9,Calgary,AB,(403) 777-8220,,patrickairlie@cbe.ab.ca,Elementary,N,N,Y,N,N,{70C20126-C8DE-4108-925D-A9F7805F240E},POINT (-113.9767839 51.0399114)
Mountain View Academy Society,Mountain View Academy,3915 34 Street NE,T1Y6Z8,Calgary,AB,(403) 217-4346,,office@mountainviewacademy.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{6AD4641E-4D7C-4676-8B9E-D1EDC6D842E4},POINT (-113.9861039 51.0884378)
The Calgary School Division,Discovering Choices II,#101 495 36 ST NE,T2A6K3,Calgary,AB,(403) 777-8384,,discoveringchoices@cbe.ab.ca,Senior High,N,N,N,N,Y,{D7F8656F-C9FD-41F6-8507-E3044B846AA9},POINT (-113.9849703 51.056524)
The Calgary School Division,Wood's Homes School,805 37 ST NW,T3B2B2,Calgary,AB,(403) 270-1751,,woodshomes@cbe.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{55ED65A5-5C4B-47EB-8CE2-96B6234A0BE2},POINT (-114.2242283 51.0960981)
Janus Academy Society,Janus Academy Junior/Senior High School,200 - 403 33 Street NE,T2H1S1,Calgary,AB,(403) 262-3333,,janus.contact@janusacademy.org,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{D4F7CE2C-3C69-46BA-947B-B872C925DD0E},POINT (-114.0562929 50.9774377)
The Calgary School Division,Lakeshore School,133 Auburn Springs Boulevard S,T3M1P6,Calgary,AB,(403) 817-3440,,Lakeshore@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{80753E65-EEA2-496C-A4F2-34F52E5EAF0F},POINT (-113.953794 50.8959118)
The Calgary School Division,Nelson Mandela High School,45 Saddletowne Cir NE,T3J4W3,Calgary,AB,(403) 817-3500,,nelsonmandelahigh@cbe.ab.ca,Senior High,N,N,N,N,Y,{80CB9D59-0B1B-44F2-87D9-4018ACB7B3A7},POINT (-113.9488457 51.1219806)
The Calgary School Division,Vincent Massey School,939  45 St SW,T3C2B9,Calgary,AB,(403) 777-7870,,vincentmassey@cbe.ab.ca,Junior High,N,N,N,Y,N,{109D5079-5A1B-4CF2-AE64-C25AA9C09777},POINT (-114.1534231 51.0440373)
North Point School for Boys,North Point School - DSEPS,2445 23 Ave SW,T2T0W3,Calgary,AB,(403) 744-5214,,,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{C3F8BD31-8FE1-436F-AB0F-A32AE2B1570A},POINT (-114.1174839 51.0325564)
The Calgary School Division,Twelve Mile Coulee School,65 Tuscany Hills Rd NW,T3L0C7,Calgary,AB,(403) 817-3390,,TwelveMileCoulee@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{E8C6CE49-F9F3-4B09-ACFD-0E2D8524B363},POINT (-114.2434801 51.1228362)
The Calgary School Division,Taradale School,170 Taravista Dr NE,,Calgary,AB,(403) 777-6270,,taradale@cbe.ab.ca,Elementary,N,N,Y,N,N,{28C2F49B-9AC2-49D2-90DF-DA232B0F4305},POINT (-113.9377551 51.1212531)
The Calgary Roman Catholic Separate School Division,Father Lacombe School,3615 Radcliffe Drive S.E.,T2A6B4,Calgary,AB,(403) 500-2066,,fatherlacombe@cssd.ab.ca,Senior High,N,N,N,N,Y,{F8608BCC-78DC-4296-AB26-FF4F06ECECC7},POINT (-113.9832447 51.0473809)
The Calgary School Division,Bayside School,15 Auburn Crest Park SE,T3M0Z4,Calgary,AB,(403) 817-3436,,baysideschool@cbe.ab.ca,Elementary,N,N,Y,N,N,{1F76606E-4B57-4C88-908F-7E0D59E6743E},POINT (-113.9475262 50.8882439)
The Calgary Roman Catholic Separate School Division,Holy Family School,904 - 32 St. S.E.,T2A0Z1,Calgary,AB,(403) 500-2054,,holy.family@cssd.ab.ca,Elementary,N,N,Y,N,N,{5909A36F-7DAB-45CB-B5D4-3F497E1CEB89},POINT (-113.9878638 51.0455362)
The Calgary School Division,Emily Follensbee School,5139 14 ST SW,T2T3W5,Calgary,AB,(403) 777-6980,,emilyfollensbee@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{76D428E7-0490-417C-900A-D73F7C65A181},POINT (-114.0955749 51.0076359)
Renfrew Educational Services Society,Renfrew Educational Services - Park Place Centre,2050 - 21 Street N.E.,T2E6S5,Calgary,AB,(403) 291-5038,,renfrew@renfreweducation.org,Unknown,N,N,N,N,N,{FEFFEB27-2500-4E75-8120-7D8ED5E9BF2D},POINT (-114.0082917 51.069617)
The Prairie Land School Division,Al-Amal Online Academy,9 Royal Vista Drive NW,T3R0N2,Calgary,AB,(825) 996-5399,,al-amal.onlineacademy@plrd.ab.ca,Senior High,N,N,N,N,Y,{D6C67FB9-5ED8-40E2-BA34-AF51E29A37F4},POINT (-114.2075428 51.1507322)
The Calgary School Division,Riverside School,107 6A St NE,T2E0B7,Calgary,AB,(403) 777-7350,,Riverside@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{944A0B08-AD02-4071-B02E-2C7FD56C66D7},POINT (-114.0477096 51.0528507)
The Calgary School Division,William Aberhart High School,3009 Morley Trail NW,T2M4G9,Calgary,AB,(403) 289-2551,,williamaberhart@cbe.ab.ca,Senior High,N,N,N,N,Y,{1324BB98-3E35-4166-B9DE-A9221CBDF0EC},POINT (-114.1153375 51.0786695)
The Calgary School Division,Hidden Valley School,10959 Hidden Valley Dr  NW,T3A6J2,Calgary,AB,(403) 777-7236,,,Elementary,N,N,Y,N,N,{6187876A-A5B7-4D95-90A6-8C3DBBDA7184},POINT (-114.11959 51.1502538)
The Calgary School Division,West Springs School,8999 Wentworth Ave SW,T3H0P7,Calgary,AB,(403) 777-6244,,,Elementary,N,N,Y,N,N,{7D426DF1-62D3-4254-841B-ED37FE44EBDB},POINT (-114.2167498 51.0584378)
The Calgary School Division,Haysboro School,1123  87 Avenue SW,T2V0W2,Calgary,AB,(403) 777-8530,,haysboro@cbe.ab.ca,Elementary,N,N,Y,N,N,{07EA415E-8F0B-4E88-93D4-9924EC19D4AD},POINT (-114.0891358 50.9754952)
The Calgary Roman Catholic Separate School Division,St. Philip School,13825 Parkside Drive S.E.,T2J5A8,Calgary,AB,(403) 500-2072,,stphilip@cssd.ab.ca,Elementary,N,N,Y,N,N,{54F8F79E-7011-4896-BB91-A19AAE33BB9C},POINT (-114.0382746 50.9278826)
Philippine Cultural Center Foundation (Calgary),Filipino Language and Cultural School of Calgary,"Bay 204 & 206 
4656 Westwinds Dr NE",T3J3Z5,Calgary,AB,,,abdacanay@shaw.ca,Unknown,N,N,N,N,N,{2D96F04A-2F84-4A69-8993-70AFBB86D564},POINT (-113.9678004 51.100647)
The Calgary School Division,Panorama Hills School,1057 Panorama Hills Dr NW,T3K0S4,Calgary,AB,(403) 777-6061,,panoramahills@cbe.ab.ca,Elementary,N,N,Y,N,N,{351C7DB1-B5B0-418F-B3E2-2C7BED36EB8C},POINT (-114.0859214 51.155814)
The Calgary Roman Catholic Separate School Division,Holy Cross Elementary Junior High School,3719 - 26 Avenue S.E.,T2B0C6,Calgary,AB,(403) 500-2033,,holycross@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{053C6CE2-3FDD-4DC1-ABBD-236267AB32E9},POINT (-113.9795625 51.0300554)
Foothills Academy Society,Foothills Academy,745 - 37 Street N.W.,T2N4T1,Calgary,AB,(403) 270-9400,,abarber@foothillsacademy.org,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{EFABF855-4E4E-49D0-BD82-68F18412BD99},POINT (-114.1423066 51.0640722)
The Calgary Roman Catholic Separate School Division,St. Gemma Outreach High School,38 - 3250 Sunridge Way NE,T1Y7K4,Calgary,AB,(403) 500-2140,,stgemma@cssd.ab.ca,Senior High,N,N,N,N,Y,{85E293B6-DEB8-435C-8363-C87D35D926DC},POINT (-113.9901364 51.0696387)
The Calgary School Division,Riverbend School,65 Rivervalley Dr SE,T2C3Z7,Calgary,AB,(403) 777-6510,,riverbend@cbe.ab.ca,Elementary,N,N,Y,N,N,{D8C9C2E5-2567-4CC2-9DE1-14C4A24FF0D7},POINT (-114.0185021 50.9721562)
The Calgary School Division,AADAC Youth Services,1005 - 17 Street N.W.,T2N2E5,Calgary,AB,(403) 297-4664,,AADAC@cbe.ab.ca,Unknown,N,N,N,N,N,{FFE994C1-9C93-462C-9EDF-A9B1A104CF1B},POINT (-114.1016819 51.0612611)
The Calgary Roman Catholic Separate School Division,St. Catherine Elementary School,11 Canata Close S.W.,T2W1P6,Calgary,AB,(403) 500-2061,,stcatherine@cssd.ab.ca,Elementary,N,N,Y,N,N,{79C6E09F-5278-445B-8CBE-F68EC85CDF76},POINT (-114.0864888 50.9438465)
The Calgary School Division,Willow Park School,343 Willow Park Dr SE,T2J0K7,Calgary,AB,(403) 777-6900,,willowpark@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{FDD16D87-F55E-457E-AFC3-F00B8FAF1733},POINT (-114.0606873 50.9577962)
The Calgary School Division,Le Roi Daniels School,47 Fyffe Rd SE,T2H1B9,Calgary,AB,(403) 777-6420,,leroidaniels@cbe.ab.ca,Elementary,N,N,Y,N,N,{5C2D1B88-ABB5-4C8C-8633-2844342CADC4},POINT (-114.0579556 50.9838584)
The Calgary School Division,CBe-learn,2336 53 Avenue SW,T3E1L2,Calgary,AB,(403) 777-7971,,cbelearn@cbe.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{4F6E97E6-0D02-463C-A379-72929FED7041},POINT (-114.1139277 51.0065169)
The Calgary School Division,Dr. George Stanley School,585 Cranston Dr SE,T3M0J4,Calgary,AB,(403) 817-3556,,drgeorgestanley@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{68C6F804-B7BF-4D6D-9F63-3017E399894E},POINT (-113.9782889 50.8827772)
The Canadian Montessori School Ltd.,Canadian Montessori School West,1112 - 70 Avenue S.W.,T2V0P6,Calgary,AB,(403) 252-3281,,admin@calgarymontessorischool.com,Unknown,N,N,N,N,N,{C9F4FB91-5687-4CF2-9544-BEE24134CB7C},POINT (-114.0882622 50.9907447)
The Calgary School Division,Braeside School,1747  107 Ave SW,T2W0C3,Calgary,AB,(403) 777-8470,,braeside@cbe.ab.ca,Elementary,N,N,Y,N,N,{5C8FD38A-725C-4B2C-BDFF-1232AAAC3EBE},POINT (-114.1016943 50.9566736)
The Calgary School Division,Falconridge School,1331 Falconridge Dr NE,T3J1T4,Calgary,AB,(403) 777-6730,,falconridge@cbe.ab.ca,Elementary,N,N,Y,N,N,{401FA010-7667-430C-9946-595977831AF2},POINT (-113.9454326 51.0993641)
The Calgary Roman Catholic Separate School Division,Our Lady of Fatima,6320 Taralea Park NE,T3J5C4,Calgary,AB,(403) 500-2112,,ourladyoffatima@cssd.ab.ca,Elementary,N,N,Y,N,N,{13FCCAA5-C292-41C1-9F8B-FFBA70B20578},POINT (-113.9379102 51.1163217)
The Southern Francophone Education Region,École de la Source,360 - 94 Avenue S.E.,T2J0E8,Calgary,AB,(403) 255-6724,,,Elementary/Junior High,N,N,Y,Y,N,{88565DE8-B8C2-4836-8A25-206DCFE0198A},POINT (-114.0618249 50.969234)
The Calgary School Division,Annie Foote School,6320 Temple Dr NE,T1Y5V5,Calgary,AB,(403) 777-6680,,anniefoote@cbe.ab.ca,Elementary,N,N,Y,N,N,{988E18D2-F738-4F8F-BBF9-0E2C41EEF293},POINT (-113.9403303 51.0859886)
The Calgary School Division,CLS Lord Beaverbrook Writing Centre,9019 Fairmount Dr.  S.E.,T2H0Z4,Calgary,AB,(403) 259-5585,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{84A27F37-B1B3-48B2-A6F0-F63D781ADF2F},POINT (-114.0616396 50.9730998)
The Calgary School Division,Sunnyside School,211 7 St NW,T2N1S2,Calgary,AB,(403) 777-6390,,sunnyside@cbe.ab.ca,Elementary,N,N,Y,N,N,{8DE108B1-6F9E-41DC-93D6-6306A143D21D},POINT (-114.0795441 51.0565624)
The Calgary School Division,Jennie Elliott School,3031 Lindsay Dr SW,T3E6A9,Calgary,AB,(403) 777-8350,,jennieelliott@cbe.ab.ca,Elementary,N,N,Y,N,N,{657D65A6-B1DE-441C-B34E-4D7334CC6676},POINT (-114.1272286 50.9961296)
The Calgary Roman Catholic Separate School Division,St. Gianna School,800 Auburn Bay Blvd SE,T3M0H7,Calgary,AB,(403) 500-2135,,stgianna@cssd.ab.ca,Elementary,N,N,Y,N,N,{A0AEA0A5-E63A-4A61-A92B-A1B29D1FDBFE},POINT (-113.968031 50.8955137)
The Calgary School Division,Juno Beach Academy of Canadian Studies,315 - 86 Avenue SE,T2H1Z2,Calgary,AB,(403) 777-7210,,junobeachacademy@cbe.ab.ca,Unknown,N,N,N,N,N,{6CCDA2A9-9490-429A-91F1-B7580B529CFD},POINT (-114.0650625 50.9753211)
The Calgary School Division,Bowness High School,4627  77 St NW,T3B2N6,Calgary,AB,(403) 286-5092,,bowness@cbe.ab.ca,Senior High,N,N,N,N,Y,{DA1741A6-234E-43CE-BFCE-70BD2C6A5EC2},POINT (-114.200251 51.0931753)
Alberta Conference of 7th Day Adventist Church,Chinook Winds Adventist Academy,10101 - 2nd Avenue S.W.,T3B5T2,Calgary,AB,(403) 286-5686,,reception@cwaa.net,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{C62207A5-FAF7-496F-926F-3F38A9BF96FE},POINT (-114.2332662 51.0792342)
